timestep,reward,progress_reward,posture_reward,energy_penalty,terminal_reward,x_position,angle,y_position,velocity_x,velocity_y
0,-0.08563993871212006,-0.0014278093973795574,-0.03181697684340179,-0.052395158,0,4.66359281539917,-0.00911075621843338,5.752499103546143,-0.02975453808903694,0.19461491703987122
1,-0.20962229371070862,-0.027752399444580078,-0.14847129583358765,-0.033398606,0,4.657188415527344,-0.03880501538515091,5.769802570343018,-0.14121781289577484,0.10089241713285446
2,-0.26028576493263245,-0.019483089447021484,-0.19436907023191452,-0.04643359,0,4.6526923179626465,-0.07767882943153381,5.778091907501221,-0.1871834397315979,0.035441868007183075
3,-0.3480617105960846,-0.026713053385416668,-0.26510588824748993,-0.05624277,0,4.6465277671813965,-0.1307000070810318,5.788687229156494,-0.2503208816051483,0.011972235515713692
4,-0.4072844982147217,-0.021532853444417317,-0.32045066356658936,-0.06530096,0,4.641558647155762,-0.19479013979434967,5.792059421539307,-0.255799263715744,0.23664234578609467
5,-0.47171470522880554,-0.022353172302246094,-0.38250766694545746,-0.06685386,0,4.63640022277832,-0.27129167318344116,5.7992024421691895,-0.2616489827632904,0.4408135414123535
6,-0.5346304774284363,-0.022809823354085285,-0.44408589601516724,-0.06773477,0,4.631136417388916,-0.3601088523864746,5.810330867767334,-0.26023659110069275,0.6557533740997314
7,-0.5973374247550964,-0.022743701934814453,-0.5056314170360565,-0.06896229,0,4.625887870788574,-0.4612351357936859,5.825780391693115,-0.24937133491039276,0.8879668116569519
8,-0.6519103646278381,-0.028200785319010418,-0.5545301735401154,-0.069179416,0,4.619379997253418,-0.572141170501709,5.8376593589782715,-0.3004748821258545,0.7289248108863831
9,-0.6319614052772522,-0.026940345764160156,-0.5355992913246155,-0.06942176,0,4.613162994384766,-0.6792610287666321,5.844452381134033,-0.2744240462779999,0.4671454429626465
10,-0.6123992800712585,-0.025665442148844402,-0.5201959609985352,-0.066537865,0,4.607240200042725,-0.7833002209663391,5.846207618713379,-0.24889346957206726,0.21038289368152618
11,-0.5380784273147583,-0.01897271474202474,-0.4544159770011902,-0.0646897,0,4.6028618812561035,-0.8741834163665771,5.843160152435303,-0.16013774275779724,-0.04478268325328827
12,-0.5278943777084351,-0.01736927032470703,-0.4516163468360901,-0.05890879,0,4.598853588104248,-0.9645066857337952,5.8357343673706055,-0.13771432638168335,-0.2699112594127655
13,-0.5265735983848572,-0.019950071970621746,-0.44845670461654663,-0.05816685,0,4.594249725341797,-1.0541980266571045,5.823164939880371,-0.15689021348953247,-0.5314053893089294
14,-0.5275532007217407,-0.02405579884847005,-0.44436752796173096,-0.059129868,0,4.588698387145996,-1.1430715322494507,5.8053364753723145,-0.19396981596946716,-0.8005977869033813
15,-0.3203964829444885,0.005804220835367839,-0.26655495166778564,-0.05964575,0,4.590037822723389,-1.1963825225830078,5.782923221588135,0.006707505788654089,-1.0479907989501953
16,-0.3954984247684479,-0.011451403299967447,-0.32378315925598145,-0.060263872,0,4.587395191192627,-1.261139154434204,5.754912853240967,-0.0468137301504612,-1.325791835784912
17,-0.40094268321990967,-0.018766085306803387,-0.32355010509490967,-0.058626488,0,4.583064556121826,-1.325849175453186,5.721746444702148,-0.12366964668035507,-1.5919160842895508
18,-0.40597206354141235,-0.026140689849853516,-0.32210469245910645,-0.057726678,0,4.577032089233398,-1.3902701139450073,5.6836042404174805,-0.20267604291439056,-1.8499798774719238
