Using device: cpu
Episode    1 | step      90 | score   -99.7 | avg-100   -99.7
Episode  103 | step   15138 | score  -101.2 | avg-100  -102.7
Episode  104 | step   15205 | score  -101.2 | avg-100  -102.6
Episode  105 | step   15279 | score  -106.0 | avg-100  -102.7
Episode  106 | step   15346 | score  -101.7 | avg-100  -102.7
Episode  107 | step   15424 | score  -105.4 | avg-100  -102.8
Episode  108 | step   15508 | score  -101.2 | avg-100  -103.0
Episode  109 | step   15982 | score  -107.9 | avg-100  -102.9
Episode  110 | step   16053 | score  -105.4 | avg-100  -102.8
Episode  111 | step   16235 | score  -106.7 | avg-100  -102.9
Episode  112 | step   16361 | score  -100.2 | avg-100  -102.9
Episode  113 | step   16436 | score  -100.6 | avg-100  -103.1
Episode  114 | step   16594 | score  -107.9 | avg-100  -103.2
Episode  115 | step   16720 | score  -103.5 | avg-100  -103.2
Episode  116 | step   16917 | score  -100.6 | avg-100  -103.2
Episode  117 | step   18517 | score  -102.6 | avg-100  -103.5
Episode  118 | step   18595 | score  -100.8 | avg-100  -103.0
Episode  119 | step   18678 | score  -101.6 | avg-100  -103.0
Episode  120 | step   18741 | avg-100  -103.0 | eval  -101.4
Episode  121 | step   18949 | score  -117.7 | avg-100  -103.1
Episode  122 | step   19065 | score  -104.5 | avg-100  -103.1
Episode  123 | step   19149 | score  -108.3 | avg-100  -103.1
Episode  124 | step   19213 | score  -101.6 | avg-100  -103.1
Episode  125 | step   20813 | score  -113.0 | avg-100  -103.2
Episode  126 | step   22413 | score  -108.6 | avg-100  -103.3
Episode  127 | step   22541 | score  -114.9 | avg-100  -103.4
Episode  128 | step   24141 | score   -92.1 | avg-100  -103.3
Episode  129 | step   25741 | score  -125.9 | avg-100  -103.5
Episode  130 | step   27341 | score  -115.1 | avg-100  -103.7
Episode  131 | step   27459 | score  -126.0 | avg-100  -103.9
Episode  132 | step   29059 | score  -142.3 | avg-100  -104.3
Episode  133 | step   30212 | score  -180.6 | avg-100  -105.1
Episode  134 | step   30487 | score  -117.2 | avg-100  -105.3
Episode  135 | step   32087 | score  -139.2 | avg-100  -105.7
Episode  136 | step   32325 | score  -142.2 | avg-100  -106.0
Episode  137 | step   33129 | score  -183.6 | avg-100  -106.8
Episode  138 | step   33186 | score  -104.4 | avg-100  -106.9
Episode  139 | step   33269 | score  -107.0 | avg-100  -106.9
Episode  140 | step   33395 | avg-100  -107.0 | eval  -104.3
Episode  141 | step   33464 | score  -104.6 | avg-100  -107.0
Episode  142 | step   33548 | score  -107.1 | avg-100  -107.0
Episode  143 | step   33623 | score  -104.7 | avg-100  -107.0
Episode  144 | step   33716 | score  -103.1 | avg-100  -107.0
Episode  145 | step   33825 | score  -107.6 | avg-100  -107.1
Episode  146 | step   33908 | score  -108.0 | avg-100  -107.1
Episode  147 | step   33983 | score  -104.0 | avg-100  -107.2
Episode  148 | step   34061 | score  -102.4 | avg-100  -107.2
Episode  149 | step   34142 | score  -108.8 | avg-100  -107.2
Episode  150 | step   34238 | score  -105.3 | avg-100  -107.2
Episode  151 | step   34316 | score  -104.3 | avg-100  -107.3
Episode  152 | step   34391 | score  -103.9 | avg-100  -107.3
Episode  153 | step   34465 | score  -103.7 | avg-100  -107.3
Episode  154 | step   34535 | score  -104.3 | avg-100  -107.3
Episode  155 | step   34604 | score  -108.7 | avg-100  -107.4
Episode  156 | step   34675 | score  -101.3 | avg-100  -107.3
Episode  157 | step   34753 | score  -112.3 | avg-100  -107.4
Episode  158 | step   34821 | score  -108.4 | avg-100  -107.5
Episode  159 | step   34896 | score  -106.1 | avg-100  -107.5
Episode  160 | step   34962 | avg-100  -107.5 | eval  -103.2
Episode  161 | step   35037 | score  -112.3 | avg-100  -107.5
Episode  162 | step   35128 | score  -114.1 | avg-100  -107.7
Episode  163 | step   35207 | score  -103.5 | avg-100  -107.7
Episode  164 | step   35274 | score  -104.6 | avg-100  -107.7
Episode  165 | step   35342 | score  -103.0 | avg-100  -107.7
Episode  166 | step   35412 | score  -101.6 | avg-100  -107.7
Episode  167 | step   35491 | score  -101.0 | avg-100  -107.7
Episode  168 | step   35570 | score  -101.3 | avg-100  -107.7
Episode  169 | step   35645 | score   -99.8 | avg-100  -107.7
Episode  170 | step   35717 | score  -102.1 | avg-100  -107.7
Episode  171 | step   35808 | score  -108.0 | avg-100  -107.7
Episode  172 | step   35894 | score  -107.8 | avg-100  -107.7
Episode  173 | step   35963 | score  -100.9 | avg-100  -107.7
Episode  174 | step   36059 | score  -107.0 | avg-100  -107.7
Episode  175 | step   36129 | score  -101.4 | avg-100  -107.7
Episode  176 | step   36233 | score  -106.3 | avg-100  -107.8
Episode  177 | step   36325 | score  -101.7 | avg-100  -107.8
Episode  178 | step   36429 | score   -99.8 | avg-100  -107.7
Episode  179 | step   36582 | score  -133.3 | avg-100  -108.0
Episode  180 | step   36669 | avg-100  -108.0 | eval  -100.4
Episode  181 | step   36749 | score  -101.8 | avg-100  -107.9
Episode  182 | step   36852 | score  -100.2 | avg-100  -107.9
Episode  183 | step   36942 | score  -102.3 | avg-100  -107.9
Episode  184 | step   37027 | score   -99.5 | avg-100  -107.9
Episode  185 | step   37549 | score  -135.6 | avg-100  -108.2
Episode  186 | step   37634 | score   -99.4 | avg-100  -108.1
Episode  187 | step   37706 | score  -100.8 | avg-100  -108.1
Episode  188 | step   37814 | score   -95.4 | avg-100  -108.0
Episode  189 | step   37908 | score   -99.3 | avg-100  -108.0
Episode  190 | step   37994 | score   -97.9 | avg-100  -108.0
Episode  191 | step   38057 | score  -104.0 | avg-100  -108.0
Episode  192 | step   38129 | score  -103.8 | avg-100  -108.0
Episode  193 | step   38226 | score  -100.5 | avg-100  -107.9
Episode  194 | step   38321 | score   -98.5 | avg-100  -107.9
Episode  195 | step   38392 | score  -100.8 | avg-100  -107.9
Episode  196 | step   38473 | score  -101.4 | avg-100  -107.9
Episode  197 | step   38563 | score  -102.8 | avg-100  -107.9
Episode  198 | step   38637 | score  -101.8 | avg-100  -107.8
Episode  199 | step   38702 | score  -100.5 | avg-100  -107.8
Episode  200 | step   38801 | avg-100  -107.8 | eval  -104.8
Episode  201 | step   38908 | score  -102.7 | avg-100  -107.8
Episode  202 | step   38987 | score  -102.4 | avg-100  -107.8
Episode  203 | step   39086 | score   -98.9 | avg-100  -107.8
Episode  204 | step   39173 | score   -99.0 | avg-100  -107.8
Episode  205 | step   39255 | score  -104.2 | avg-100  -107.7
Episode  206 | step   39340 | score  -100.2 | avg-100  -107.7
Episode  207 | step   39425 | score   -99.1 | avg-100  -107.7
Episode  208 | step   39584 | score  -105.1 | avg-100  -107.7
Episode  209 | step   39700 | score  -101.6 | avg-100  -107.6
Episode  210 | step   39797 | score  -107.2 | avg-100  -107.7
Episode  211 | step   39895 | score  -101.8 | avg-100  -107.6
Episode  212 | step   39994 | score  -102.5 | avg-100  -107.6
Episode  213 | step   40088 | score  -101.9 | avg-100  -107.6
Episode  214 | step   40184 | score  -106.1 | avg-100  -107.6
Episode  215 | step   40272 | score  -102.9 | avg-100  -107.6
Episode  216 | step   40357 | score  -103.0 | avg-100  -107.6
Episode  217 | step   40431 | score  -103.2 | avg-100  -107.6
Episode  218 | step   40537 | score  -101.8 | avg-100  -107.7
Episode  219 | step   40637 | score  -103.7 | avg-100  -107.7
Episode  220 | step   40743 | avg-100  -107.6 | eval  -103.8
Episode  221 | step   40844 | score  -101.3 | avg-100  -107.5
Episode  222 | step   40927 | score  -106.7 | avg-100  -107.5
Episode  223 | step   41100 | score   -92.9 | avg-100  -107.3
Episode  224 | step   41253 | score  -134.6 | avg-100  -107.7
Episode  225 | step   41367 | score  -122.3 | avg-100  -107.8
Episode  226 | step   41482 | score  -130.9 | avg-100  -108.0
Episode  227 | step   41634 | score  -129.3 | avg-100  -108.1
Episode  228 | step   41748 | score   -95.5 | avg-100  -108.2
