#{"t_start": 1784572920.7339628, "env_id": "BipedalWalker-v3"}
r,l,t,avg_angle,avg_angular_velocity,avg_height_error,total_x_progress,episode_steps
589.425867,759,1701.004784,0.021,0.35,0.297,84.06,759
580.397021,764,1721.38077,0.024,0.351,0.293,84.04,764
584.661139,766,1742.063819,0.022,0.341,0.3,84.01,766
586.460534,764,1761.860072,0.023,0.337,0.301,84.06,764
586.87332,769,1779.617547,0.021,0.327,0.312,84.03,769
570.883144,762,1798.158061,0.024,0.332,0.355,84.01,762
291.112809,677,1814.89203,0.065,0.416,0.33,73.27,677
594.645882,766,1832.88889,0.019,0.343,0.288,84.09,766
577.565538,770,1850.872952,0.025,0.318,0.316,84.04,770
586.608004,768,1868.955304,0.023,0.314,0.31,84.01,768
577.676536,778,1887.620764,0.023,0.308,0.33,84.02,778
608.35396,763,1909.494219,0.017,0.308,0.288,84.03,763
585.666233,772,1928.15161,0.023,0.336,0.28,84.02,772
594.823021,758,1946.403575,0.021,0.305,0.322,84.12,758
605.383119,758,1964.881805,0.022,0.316,0.25,84.09,758
600.064521,751,1982.068938,0.022,0.311,0.289,84.07,751
-131.008323,79,1984.448135,0.153,0.693,0.596,4.72,79
589.492912,758,2001.847211,0.023,0.319,0.31,84.02,758
605.213311,753,2020.49592,0.02,0.316,0.273,84.07,753
586.03584,760,2038.197116,0.028,0.32,0.269,84.11,760
610.806535,758,2060.879715,0.021,0.3,0.257,84.09,758
-130.416691,61,2062.176924,0.108,0.698,0.668,2.32,61
597.127103,764,2079.859114,0.02,0.286,0.329,84.04,764
583.6198,762,2098.032066,0.023,0.305,0.344,84.11,762
599.769849,755,2115.640407,0.021,0.312,0.299,84.03,755
597.573648,745,2133.372825,0.023,0.303,0.306,84.07,745
595.830777,766,2150.888918,0.021,0.299,0.31,84.12,766
614.283046,752,2168.103755,0.018,0.302,0.28,84.11,752
613.938788,749,2185.385775,0.02,0.287,0.283,84.1,749
605.513563,751,2203.638901,0.018,0.299,0.324,84.04,751
-137.054412,54,2204.951758,0.154,0.758,0.604,1.82,54
588.281675,751,2223.301385,0.02,0.308,0.364,84.06,751
612.463748,762,2242.216108,0.019,0.299,0.267,84.06,762
595.430597,756,2259.526117,0.02,0.287,0.351,84.02,756
614.246099,757,2283.653497,0.016,0.29,0.3,84.1,757
608.521075,750,2309.460218,0.02,0.3,0.287,84.05,750
598.239892,755,2333.644969,0.02,0.292,0.332,84.01,755
611.302846,758,2355.676686,0.019,0.301,0.28,84.07,758
606.926314,752,2377.72651,0.02,0.304,0.293,84.08,752
620.255691,744,2404.004509,0.018,0.292,0.271,84.07,744
615.069031,753,2421.26206,0.017,0.288,0.299,84.1,753
611.713317,748,2447.203613,0.018,0.277,0.323,84.09,748
613.983369,757,2465.618728,0.017,0.268,0.324,84.09,757
621.398267,750,2479.784521,0.018,0.283,0.271,84.08,750
610.926768,751,2493.247855,0.018,0.292,0.308,84.12,751
601.88317,751,2506.738815,0.017,0.298,0.351,84.11,751
605.861777,744,2520.099455,0.018,0.304,0.325,84.01,744
605.528676,753,2533.798345,0.019,0.302,0.308,84.07,753
602.191575,754,2547.240499,0.019,0.288,0.337,84.06,754
603.065909,756,2561.058294,0.018,0.303,0.315,84.03,756
604.426661,747,2574.63618,0.018,0.287,0.346,84.12,747
