Update,Reward
278,216.54879760742188
279,220.09869384765625
280,99.931884765625
281,218.14581298828125
282,108.54896545410156
283,209.05470275878906
284,153.9005584716797
285,220.89578247070312
286,224.75848388671875
287,114.56089782714844
288,179.58721923828125
289,104.90745544433594
290,230.28451538085938
291,218.10562133789062
292,104.01022338867188
293,216.00830078125
294,110.24879455566406
295,121.4573745727539
296,123.30619812011719
297,227.36419677734375
298,226.43228149414062
299,192.34811401367188
300,209.03567504882812
301,200.75347900390625
302,173.45278930664062
303,91.52790069580078
304,208.8851318359375
305,191.86215209960938
306,199.14308166503906
307,218.10931396484375
308,95.67833709716797
309,206.13296508789062
310,96.50271606445312
311,94.65763854980469
312,206.98797607421875
313,85.79557800292969
314,221.837646484375
315,192.27487182617188
316,181.4068603515625
317,198.1623992919922
318,209.53875732421875
319,200.88418579101562
320,205.288818359375
321,217.49334716796875
322,199.03729248046875
323,220.43594360351562
324,216.146484375
325,196.2521209716797
326,233.6221923828125
327,235.81301879882812
328,226.19857788085938
329,208.99363708496094
330,235.3683624267578
331,227.53070068359375
332,247.23678588867188
333,211.3094482421875
334,118.37261962890625
335,150.2185516357422
336,131.78445434570312
337,113.88160705566406
338,240.68075561523438
339,214.77552795410156
340,225.76248168945312
341,230.27294921875
342,220.94342041015625
343,204.91319274902344
344,210.85116577148438
345,111.97347259521484
346,232.63047790527344
347,190.81021118164062
348,191.50628662109375
349,212.77853393554688
350,215.03009033203125
351,216.63992309570312
352,224.1726531982422
353,213.5276336669922
354,237.61663818359375
355,217.13348388671875
356,231.0854949951172
357,216.04150390625
358,228.80494689941406
359,206.85806274414062
360,208.64178466796875
361,225.12924194335938
362,217.6814422607422
363,214.39703369140625
364,229.17913818359375
365,230.81275939941406
366,219.3218994140625
367,114.82197570800781
368,221.393310546875
369,234.08273315429688
370,225.90802001953125
371,195.1049346923828
372,211.767578125
373,235.46902465820312
374,236.20925903320312
375,216.35140991210938
376,215.664306640625
377,238.11331176757812
378,223.46092224121094
379,247.21084594726562
380,236.4423828125
381,220.11065673828125
382,123.98922729492188
383,256.2154846191406
384,246.27169799804688
385,222.43313598632812
386,258.01873779296875
387,226.49588012695312
388,226.80978393554688
389,213.7830047607422
390,125.9073486328125
391,228.73614501953125
392,227.8374481201172
393,222.0333251953125
394,227.98251342773438
395,236.35694885253906
396,234.7385711669922
397,254.41046142578125
398,245.18072509765625
399,230.65899658203125
400,187.46792602539062
401,236.86514282226562
402,237.50540161132812
403,263.93194580078125
404,129.23207092285156
405,126.10978698730469
406,243.37008666992188
407,207.2482147216797
408,108.29336547851562
409,238.3311767578125
410,219.4747314453125
411,230.87200927734375
412,258.1991271972656
413,242.88912963867188
414,244.69593811035156
415,236.769775390625
416,241.0361328125
417,238.89549255371094
418,229.0865478515625
419,255.62770080566406
420,229.16500854492188
421,271.37249755859375
422,253.96751403808594
423,258.8271484375
424,289.8675537109375
425,171.13592529296875
426,227.9110565185547
427,249.95046997070312
428,245.973876953125
429,240.93869018554688
430,265.1278381347656
431,247.3391876220703
432,286.9949035644531
433,192.56703186035156
434,248.97720336914062
435,267.2967224121094
436,270.3897399902344
437,276.7466735839844
438,152.6292266845703
439,171.34661865234375
440,281.9794616699219
441,305.86810302734375
442,266.88958740234375
443,296.1839599609375
444,242.28155517578125
445,275.0113525390625
446,290.7157897949219
447,134.98101806640625
448,296.0244140625
449,145.1215362548828
450,-26.329856872558594
451,198.19915771484375
452,281.69183349609375
453,188.30679321289062
454,167.41419982910156
455,270.09393310546875
456,262.10919189453125
457,250.92230224609375
458,281.3034973144531
459,272.2633056640625
460,-40.899234771728516
461,289.55596923828125
462,281.51019287109375
463,283.82666015625
464,281.2962646484375
465,278.34637451171875
466,332.8705749511719
467,282.63543701171875
468,280.2215576171875
469,270.177734375
470,292.29449462890625
471,302.8353271484375
472,157.89657592773438
473,116.17771911621094
474,285.84588623046875
475,114.95366668701172
476,307.250244140625
477,318.47882080078125
478,319.0509948730469
479,297.93804931640625
480,301.88067626953125
481,266.80059814453125
482,272.217529296875
483,307.8187561035156
484,296.68109130859375
485,315.9341735839844
486,126.19152069091797
487,322.57342529296875
488,293.30133056640625
