Update,Reward
1,-592.0960083007812
2,-148.25765991210938
3,-236.34521484375
4,-138.94012451171875
5,-243.937255859375
6,-148.32028198242188
7,-122.34420776367188
8,-331.484130859375
9,-238.48715209960938
10,-338.2020263671875
11,-104.83650970458984
12,-117.67715454101562
13,-200.3414764404297
14,-325.42138671875
15,-94.71470642089844
16,-110.17542266845703
17,-108.28800964355469
18,-95.53363800048828
19,-81.88461303710938
20,-93.2171630859375
21,-88.86898040771484
22,-69.7178726196289
23,-60.5499382019043
24,-55.58754348754883
25,-67.86003875732422
26,-22.624170303344727
27,-41.13752746582031
28,-5.287191867828369
29,0.48768043518066406
30,11.41706657409668
31,11.118247032165527
32,32.725162506103516
33,34.87944030761719
34,17.723567962646484
35,68.59199523925781
36,88.20398712158203
37,90.28437042236328
38,112.97168731689453
39,21.382957458496094
40,7.567573547363281
41,-208.49270629882812
42,96.38395690917969
43,122.76937866210938
44,160.4519500732422
45,151.92153930664062
46,38.32499694824219
47,160.5790252685547
48,-282.7767333984375
49,-61.80205535888672
50,143.7506561279297
51,51.60955810546875
52,-71.54122161865234
53,31.65361785888672
54,62.27977752685547
55,139.56619262695312
56,160.49607849121094
57,157.0382843017578
58,-26.950218200683594
59,185.61424255371094
60,182.44615173339844
61,-66.08816528320312
62,84.07176208496094
63,57.841773986816406
64,209.45326232910156
65,186.4483184814453
66,88.61614990234375
67,208.12156677246094
68,217.70864868164062
69,57.64552307128906
70,91.33830261230469
71,184.79611206054688
72,208.24368286132812
73,182.0992431640625
74,221.46783447265625
75,88.73545837402344
76,205.05560302734375
77,116.477294921875
78,215.07598876953125
79,234.1558837890625
80,82.26748657226562
81,59.279048919677734
82,125.00037384033203
83,163.884765625
84,214.23703002929688
85,218.277587890625
86,238.4013671875
87,231.9793701171875
88,242.3951416015625
89,132.20428466796875
90,263.11993408203125
91,119.32697296142578
92,223.3361053466797
93,241.95819091796875
94,141.28761291503906
95,139.08102416992188
96,222.4225311279297
97,248.9459228515625
98,185.64903259277344
99,228.04165649414062
100,275.08038330078125
101,192.83740234375
102,176.95108032226562
103,278.43841552734375
104,271.0330505371094
105,283.9776916503906
106,315.20916748046875
107,297.0942077636719
108,299.4793701171875
109,297.77337646484375
110,-89.76465606689453
111,103.6209716796875
112,306.5955810546875
113,228.6909942626953
114,-33.77903747558594
115,217.39967346191406
116,334.0511779785156
117,303.3023986816406
118,170.2349090576172
119,184.42698669433594
120,306.26129150390625
121,279.1488037109375
122,304.8805236816406
123,67.45945739746094
124,286.180419921875
125,306.14251708984375
126,287.3091125488281
127,316.7403259277344
128,324.205078125
129,307.27734375
130,201.85658264160156
131,299.72705078125
132,287.48919677734375
133,178.97573852539062
134,321.32366943359375
135,288.2939453125
136,310.8272705078125
137,346.2149353027344
138,205.1685333251953
139,335.4903564453125
140,89.98236083984375
141,172.68641662597656
142,149.9499053955078
143,176.51022338867188
144,131.5491943359375
145,182.62564086914062
146,354.0253601074219
147,335.10986328125
148,243.67196655273438
149,104.72465515136719
150,351.0015869140625
151,212.6246795654297
152,234.35169982910156
153,159.2857208251953
154,375.03961181640625
155,376.9702453613281
156,366.50146484375
157,324.16058349609375
158,323.1700439453125
159,237.31968688964844
160,343.042724609375
161,351.2559814453125
162,99.33616638183594
163,291.3857421875
164,118.11487579345703
165,220.66326904296875
166,367.6949768066406
167,372.46142578125
168,243.11001586914062
169,127.35090637207031
170,322.4064636230469
171,233.77894592285156
172,144.2579803466797
173,377.10906982421875
174,258.9333801269531
175,341.00677490234375
176,255.40103149414062
177,243.5285186767578
178,275.1861572265625
179,369.2392578125
180,359.7525634765625
181,362.7886962890625
182,263.62896728515625
183,390.0816345214844
184,380.9263916015625
185,400.72222900390625
186,383.2005310058594
187,423.12646484375
188,368.58990478515625
189,275.60638427734375
190,399.62860107421875
191,283.7989501953125
192,407.9798583984375
193,260.0982360839844
194,399.6787109375
195,414.22418212890625
196,283.00543212890625
197,254.351318359375
198,412.4866943359375
199,155.57818603515625
200,280.81427001953125
201,281.2676086425781
202,5.2316741943359375
203,410.4024658203125
204,287.438232421875
205,283.3188171386719
206,259.177490234375
207,417.11334228515625
208,405.2978515625
209,173.65682983398438
210,419.0406494140625
211,229.9076690673828
212,388.4801330566406
213,282.11968994140625
214,458.2481689453125
215,283.518798828125
216,448.10906982421875
217,290.83135986328125
218,295.8023986816406
219,396.83984375
220,405.2261047363281
221,425.73974609375
222,420.0218505859375
223,411.8289794921875
224,410.5599060058594
225,435.911376953125
226,454.2073974609375
227,450.0932312011719
228,448.84228515625
229,436.9896240234375
230,459.7628479003906
231,317.4045104980469
232,259.50970458984375
233,302.21636962890625
234,454.5960693359375
235,400.1628723144531
236,440.1744079589844
237,300.98797607421875
238,417.7990417480469
239,435.49127197265625
240,342.9263916015625
241,315.668701171875
242,140.01034545898438
243,424.3139343261719
244,318.31622314453125
245,441.5601501464844
246,428.09417724609375
247,454.04449462890625
248,436.1246337890625
249,466.39154052734375
250,441.45074462890625
251,460.9807434082031
252,456.1300048828125
253,466.6722412109375
254,307.21697998046875
255,449.1996154785156
256,477.78485107421875
257,348.8211669921875
258,476.7723693847656
259,449.67889404296875
260,453.587646484375
261,474.0318603515625
262,334.99456787109375
263,351.1946105957031
264,360.2894592285156
265,460.6956481933594
266,490.72088623046875
267,489.9788513183594
268,457.1330871582031
269,457.4801025390625
270,504.03399658203125
271,494.99395751953125
272,369.5040283203125
273,320.11846923828125
274,486.5205078125
275,349.7394714355469
276,53.37015151977539
277,-24.218246459960938
278,483.65081787109375
279,231.7473602294922
280,354.89923095703125
281,484.0511474609375
282,234.67855834960938
283,363.8885803222656
284,172.30099487304688
285,494.74200439453125
286,468.1986389160156
287,193.55184936523438
288,354.5260314941406
289,177.16651916503906
290,504.572998046875
291,478.0148620605469
292,93.81608581542969
293,497.60443115234375
