Update,Reward
1,-1191.4830322265625
2,-23.199100494384766
3,-102.96121215820312
4,-125.81816101074219
5,-168.1049346923828
6,-11.158791542053223
7,-6.6868062019348145
8,46.88822937011719
9,-85.73307800292969
10,76.64816284179688
11,104.12843322753906
12,64.75395965576172
13,155.36318969726562
14,-164.426025390625
15,-21.9608154296875
16,137.213623046875
17,112.13298034667969
18,139.37252807617188
19,174.8101348876953
20,170.18402099609375
21,180.62344360351562
22,52.85923385620117
23,67.72770690917969
24,221.00247192382812
25,191.88818359375
26,-5.863861083984375
27,236.50814819335938
28,99.45931243896484
29,214.22535705566406
30,216.2104034423828
31,215.96200561523438
32,112.59451293945312
33,223.07846069335938
34,215.94961547851562
35,244.3798370361328
36,250.86566162109375
37,235.86282348632812
38,267.9385070800781
39,269.3636474609375
40,244.07882690429688
41,232.06710815429688
42,247.93362426757812
43,-66.6466064453125
44,245.55819702148438
45,142.4676971435547
46,239.70004272460938
47,242.7247314453125
48,114.27108764648438
49,253.04611206054688
50,239.591552734375
51,268.24542236328125
52,250.29287719726562
53,123.51742553710938
54,156.001220703125
55,130.61654663085938
56,264.0496826171875
57,262.6988220214844
58,225.01333618164062
59,242.19859313964844
60,244.11279296875
61,138.15298461914062
62,267.8661804199219
63,248.06390380859375
64,252.45034790039062
65,244.6121826171875
66,265.1346435546875
67,242.13824462890625
68,271.45977783203125
69,274.17340087890625
70,279.1947937011719
71,274.7803955078125
72,253.13528442382812
73,282.15625
74,285.6126708984375
75,283.498291015625
76,275.1073913574219
77,266.1849365234375
78,166.18350219726562
79,278.70391845703125
80,274.4755859375
81,186.09689331054688
82,156.29173278808594
83,153.69451904296875
84,179.44735717773438
85,196.5675506591797
86,154.2119140625
87,260.0459899902344
88,274.76507568359375
89,267.39349365234375
90,273.42437744140625
91,275.7685546875
92,292.08837890625
93,270.2933044433594
94,295.06683349609375
95,-147.24127197265625
96,273.6859130859375
97,143.22950744628906
98,245.46139526367188
99,271.7525634765625
100,254.21484375
101,279.11480712890625
102,159.5412139892578
103,195.75283813476562
104,267.3601989746094
105,281.996826171875
106,180.1741180419922
107,276.5354919433594
108,192.31387329101562
109,296.12811279296875
110,294.0761413574219
111,271.89361572265625
112,162.34762573242188
113,185.8267059326172
114,292.1671447753906
115,286.79754638671875
116,308.545166015625
117,311.4718322753906
118,143.9297637939453
119,274.12347412109375
120,140.11013793945312
121,286.84918212890625
122,309.69293212890625
123,281.78875732421875
124,296.949951171875
125,287.34039306640625
126,292.2098693847656
127,281.4737548828125
128,301.4972229003906
129,168.66592407226562
130,294.6632080078125
131,272.59844970703125
132,247.84613037109375
133,310.8731689453125
134,269.569091796875
135,278.62371826171875
136,288.6266784667969
137,174.48779296875
138,265.1859130859375
139,296.1198425292969
140,275.732421875
141,285.6278076171875
142,280.25091552734375
143,264.70086669921875
144,280.93310546875
145,286.91253662109375
146,301.49176025390625
147,257.26129150390625
148,295.38409423828125
149,302.13934326171875
150,275.1432189941406
151,299.4610290527344
152,313.4385986328125
153,309.8244323730469
154,194.12818908691406
155,325.02520751953125
156,300.756591796875
157,191.50021362304688
158,301.04901123046875
159,307.59381103515625
160,295.7580871582031
161,286.6134948730469
162,304.1563415527344
163,283.6773986816406
164,301.060791015625
165,305.1537780761719
166,285.09210205078125
167,317.29998779296875
168,291.94683837890625
169,300.93035888671875
170,296.46466064453125
171,303.52960205078125
172,296.87322998046875
173,294.45233154296875
174,299.35552978515625
175,299.78466796875
176,316.343017578125
177,306.72833251953125
178,298.0694274902344
179,309.6610107421875
180,309.5240783691406
181,294.9293212890625
182,292.0576171875
183,319.1329345703125
184,277.297607421875
185,184.1001434326172
186,289.826171875
187,175.9396209716797
188,164.2821044921875
189,191.2469940185547
190,238.68765258789062
191,170.35479736328125
192,293.05865478515625
193,187.43670654296875
194,178.80636596679688
195,294.750244140625
196,70.14859008789062
197,152.47586059570312
198,48.51288604736328
199,296.77197265625
200,296.64990234375
201,191.71047973632812
202,288.33074951171875
203,144.55902099609375
204,170.41888427734375
205,277.4639587402344
206,224.26763916015625
207,193.98486328125
208,168.12667846679688
209,184.89013671875
210,210.22906494140625
211,278.01263427734375
212,279.1221008300781
213,303.2010192871094
214,275.3177795410156
215,288.0496520996094
216,95.03968048095703
217,174.86415100097656
218,307.13421630859375
219,-53.55442810058594
220,306.8417663574219
221,195.02133178710938
222,285.05963134765625
223,278.5367431640625
224,199.28929138183594
225,319.7591552734375
226,318.2378845214844
227,309.25677490234375
228,328.5427551269531
229,310.3289794921875
230,199.3297576904297
231,349.5877685546875
232,314.39996337890625
233,336.51727294921875
234,254.43060302734375
235,133.45016479492188
236,263.22589111328125
237,350.69146728515625
238,367.68121337890625
239,324.4820556640625
240,227.72103881835938
241,388.2937316894531
242,261.9014892578125
243,373.53680419921875
244,403.30694580078125
245,244.22860717773438
246,371.3697509765625
247,390.2325439453125
248,384.1484069824219
249,345.11383056640625
250,426.30126953125
251,383.30816650390625
252,413.705810546875
253,286.8542175292969
254,410.96710205078125
255,416.0195617675781
256,401.2528991699219
257,401.21734619140625
258,313.489013671875
259,316.9289245605469
260,417.7811279296875
261,449.3026123046875
262,399.0621337890625
263,445.67144775390625
264,402.00592041015625
265,345.358154296875
266,432.5823974609375
267,409.0661926269531
268,221.78173828125
269,422.1820373535156
270,454.445068359375
271,432.91046142578125
272,327.3048400878906
273,456.218017578125
274,470.0599365234375
275,446.29937744140625
276,422.189453125
277,466.85406494140625
278,449.14862060546875
279,336.290283203125
280,465.806396484375
281,463.31561279296875
282,464.6440734863281
283,322.2763671875
284,480.22894287109375
285,435.85101318359375
286,479.79608154296875
287,451.7929382324219
288,472.48675537109375
289,490.8374328613281
290,477.17010498046875
291,155.92706298828125
292,216.01162719726562
293,456.50726318359375
294,255.41781616210938
295,480.31072998046875
296,449.84912109375
297,479.90509033203125
298,478.4390563964844
299,334.6354064941406
300,370.7923889160156
301,367.80499267578125
302,517.4153442382812
303,467.24176025390625
304,444.36383056640625
305,469.5548400878906
