Update,Reward
1,-114.8975601196289
2,-116.1319351196289
3,-113.5713882446289
4,-110.39737701416016
5,-117.4076156616211
6,-112.87568664550781
7,-111.25675964355469
8,-101.2967529296875
9,-107.3194808959961
10,-102.84342193603516
11,-104.17083740234375
12,-102.16726684570312
13,-111.0441665649414
14,-101.68125915527344
15,-107.22113037109375
16,-93.85942840576172
17,-98.29774475097656
18,-99.31145477294922
19,-101.25785827636719
20,-83.73442077636719
21,-97.37135314941406
22,-80.9972915649414
23,-79.27772521972656
24,-56.083740234375
25,-28.491703033447266
26,-42.9499626159668
27,-62.007347106933594
28,-53.754493713378906
29,3.839115619659424
30,-30.646800994873047
31,-10.50151252746582
32,-4.093038558959961
33,13.632232666015625
34,-38.4456901550293
35,-3.048405885696411
36,6.5319929122924805
37,6.540444850921631
38,58.09239959716797
39,54.561729431152344
40,57.21483612060547
41,77.38494110107422
42,68.36347198486328
43,71.52733612060547
44,108.65316009521484
45,34.581993103027344
46,93.8207015991211
47,130.69667053222656
48,152.8589630126953
49,191.55282592773438
50,111.08464050292969
51,142.4851531982422
52,125.0407485961914
53,187.00625610351562
54,108.3244400024414
55,163.5399932861328
56,90.20349884033203
57,149.1517791748047
58,148.39266967773438
59,154.6121063232422
60,212.28231811523438
61,168.57923889160156
62,149.24615478515625
63,185.75184631347656
64,185.65597534179688
65,200.5972137451172
66,169.29261779785156
67,175.4217071533203
68,184.55245971679688
69,210.93899536132812
70,172.42782592773438
71,207.08175659179688
72,175.67613220214844
73,202.20191955566406
74,153.47576904296875
75,212.47787475585938
76,225.24215698242188
